track,artist,date,rating
b'The Concept',b'Teenage Fanclub',21 October 1991 ,3.82
"b""Don't Let's Start""",b'They Might Be Giants',2 November 1987 ,3.88
b'Forget Her',b'Jeff Buckley',23 August 2004 ,3.83
,,,
b'Comforting Sounds',b'Mew',24 March 2003 ,3.86
b'Canned Heat Blues / Big Fat Mamma Blues',b'Tommy Johnson',4 October 1929 ,3.85
b'Thousands Are Sailing',b'The Pogues',1988,3.85
b'Ripples / Entangled',b'Genesis',March 1976 ,3.88
b'Rosalita (Come Out Tonight) / Night',b'Bruce Springsteen',1979,3.83
b'DVP',b'PUP',15 February 2016 ,3.95
b'Save Me',b'Chief Keef',1 April 2014 ,3.83
,,,
b'Harness Your Hopes / Roll With the Wind',b'Pavement',1999,3.97
b'Wassup',b'A$AP Rocky',20 January 2012 ,3.88
b'007 / El Toro',b'Desmond Dekker & The Aces',1967,3.84
b'Mojo 45 The Greatest Single of All Time',b'The Beach Boys',August 1997 ,4.00
b'The Mooche / Hot and Bothered',b'Duke Ellington & His Orch.',November 1928 ,3.91
"b""Summertime / Billie's Blues""",b'Billie Holiday and Her Orchestra',August 1936 ,3.85
b'El Ma\xc3\xb1ana',b'Gorillaz',2006,3.90
,,,
b'The Unguarded Moment / Busdriver',b'The Church',14 March 1981 ,3.87
"b""Keep a Knockin' / Can't Believe You Wanna Leave""",b'Little Richard',August 1957 ,3.84
b'I See the Rain / Laughing Man',b'Marmalade',August 1967 ,3.87
b'Ooh La La / Borstal Boys',b'Faces',6 June 1973 ,3.87
b'Get Over You / Really Really / She Can Only Say No',b'The Undertones',19 January 1979 ,3.88
"b""Another Star / Creepin'""",b'Stevie Wonder',August 1977 ,3.85
b'Flava in Ya Ear (Remix)',b'Craig Mack',1994,3.82
,,,
b'Laisse tomber les filles / Christiansen',b'France Gall',1964,3.85
b'Quest/Power',b'Earl Sweatshirt',14 February 2015 ,3.87
"b""That's All Right / Crudup's After Hours""","b'Arthur ""Big Boy"" Crudup'",April 1947 ,3.85
b'The Ocean',b'Richard Hawley',22 August 2005 ,3.91
b'\xe8\x8c\x8e(Stem) ~\xe5\xa4\xa7\xe5\x90\x8d\xe9\x81\x8a\xe3\x83\x93\xe7\xb7\xa8~',b'\xe6\xa4\x8e\xe5\x90\x8d\xe6\x9e\x97\xe6\xaa\x8e [Sheena Ringo]',22 January 2003 ,3.89
b'Take Me to the River / Love and Happiness',b'Al Green',1977,3.96
b'St. James Infirmary / Save It Pretty Mama',b'Louis Armstrong & His Savoy Ballroom Five',February 1929 ,3.84
,,,
b'Starstruck / Picture Book',b'The Kinks',November 1968 ,3.85
